merged_key,ieee_key,acm_key,match_type,score,isbn,ieee_file,acm_file
,10734572,10.1145/3723420.3723428,TITLE,89,9798400712876,ieee_scraped_20250820_173745.bib,acm_scraped_20250820_174604.bib
,10624638,10.1145/3724504.3724526,TITLE,90,9798400711732,ieee_scraped_20250820_173745.bib,acm_scraped_20250820_174604.bib
,9797584,10.1145/3726010.3726089,TITLE,91,9798400712845,ieee_scraped_20250820_173745.bib,acm_scraped_20250820_174604.bib
,9408896,10.1145/3691720.3691768,TITLE,88,9798400710230,ieee_scraped_20250820_173745.bib,acm_scraped_20250820_174638.bib
,11092288,10.1145/3711403.3711435,TITLE,88,9798400717468,ieee_scraped_20250820_173745.bib,acm_scraped_20250820_174604.bib
,10900880,10.1145/3696117.3696123,TITLE,95,0163-5948,ieee_scraped_20250820_173816.bib,acm_scraped_20250820_174638.bib
,10953253,10.1145/3711896.3737870,TITLE,92,9781394243341,ieee_scraped_20250820_173816.bib,acm_scraped_20250820_174604.bib
,10790393,10.1145/3700297.3700395,TITLE,97,9783111324166,ieee_scraped_20250820_173816.bib,acm_scraped_20250820_174638.bib
,10736116,10.1145/3636555.3636856,TITLE,88,9798400716188,ieee_scraped_20250820_173816.bib,acm_scraped_20250820_174638.bib
,10308422,10.1145/3745238.3745511,TITLE,100,1941-045x,ieee_scraped_20250820_173847.bib,acm_scraped_20250820_174638.bib
,10955772,10.1145/3728725,TITLE,91,9781394291113,ieee_scraped_20250820_173847.bib,acm_scraped_20250820_174604.bib
,10548653,10.1145/3597503.3649399,TITLE,100,1558-1225,ieee_scraped_20250820_173847.bib,acm_scraped_20250820_174604.bib
,9232575,10.1145/3660043.3660178,TITLE,94,9798400716157,ieee_scraped_20250820_173847.bib,acm_scraped_20250820_174638.bib
,10952786,10.1145/3720536,TITLE,100,9781394254965,ieee_scraped_20250820_173919.bib,acm_scraped_20250820_174604.bib
,10042312,10.1145/3657054.3664243,TITLE,88,9798400709883,ieee_scraped_20250820_173919.bib,acm_scraped_20250820_174604.bib
,11013092,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11113640,,UNMATCHED_IEEE,0,2766-2144,ieee_scraped_20250820_173745.bib,
,10280429,,UNMATCHED_IEEE,0,9781617296185,ieee_scraped_20250820_173745.bib,
,10500605,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10487664,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10319661,,UNMATCHED_IEEE,0,1937-4178,ieee_scraped_20250820_173745.bib,
,10904391,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11116915,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10962044,,UNMATCHED_IEEE,0,2768-4644,ieee_scraped_20250820_173745.bib,
,10659410,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11108345,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11022287,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10565670,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11041711,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10692746,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10645267,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11091882,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10507034,,UNMATCHED_IEEE,0,1939-1382,ieee_scraped_20250820_173745.bib,
,10717541,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10953124,,UNMATCHED_IEEE,0,9781394254255,ieee_scraped_20250820_173745.bib,
,10758970,,UNMATCHED_IEEE,0,2768-0940,ieee_scraped_20250820_173745.bib,
,9724346,,UNMATCHED_IEEE,0,2324-9013,ieee_scraped_20250820_173745.bib,
,10957230,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10141395,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10933045,,UNMATCHED_IEEE,0,2836-4090,ieee_scraped_20250820_173745.bib,
,11092267,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11070597,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10950051,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10416432,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11048034,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10960226,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10762015,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10917108,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10864040,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,9832340,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,11120412,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
,10925615,,UNMATCHED_IEEE,0,,ieee_scraped_20250820_173745.bib,
